batch,run_id,utc,event,basis,evidence_path,detail
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:07:19Z,member-c_snapshot_started,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-c/snapshot-20260916T110719759393725/status.txt,UN 10.20.0.12; UN 10.20.0.13; UN 10.20.0.11；utc.txt为快照命令开始，状态在其后采集
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:07:20Z,member-a_snapshot_started,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-a/snapshot-20260916T110720900069716/status.txt,UN 10.20.0.12; UN 10.20.0.13; UN 10.20.0.11；utc.txt为快照命令开始，状态在其后采集
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:07:21Z,member-b_snapshot_started,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/snapshot-20260916T110721797780836/status.txt,UN 10.20.0.12; UN 10.20.0.13; UN 10.20.0.11；utc.txt为快照命令开始，状态在其后采集
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:08:56.793775+00:00,prepare_started,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/prepare-started.json,
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:09:04.529756+00:00,data_ready,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/data-ready.json,
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:09:23Z,member-c_snapshot_started,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-c/snapshot-20260916T110923221776359/status.txt,UN 10.20.0.12; UN 10.20.0.13; UN 10.20.0.11；utc.txt为快照命令开始，状态在其后采集
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:09:25Z,member-a_snapshot_started,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-a/snapshot-20260916T110925690171760/status.txt,UN 10.20.0.12; UN 10.20.0.13; UN 10.20.0.11；utc.txt为快照命令开始，状态在其后采集
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:11:43.825524+00:00,gate_recorded,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/gate.json,人工声明；故障引用勘误见evidence-addendum.md
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:12:26.767942+00:00,batch_execution_started,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/execute-started.json,
F1,20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538,2026-09-16T11:12:27.070017+00:00,first_operation_started,recorded,results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-01.jsonl,
