history,model,scenario,write_cl,read_cl,result,reason,workload_status_counts,raw_path
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-01,ryw,normal,QUORUM,QUORUM,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-01.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-05,wfr,normal,QUORUM,QUORUM,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-05.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-05,ryw,normal,ONE,ONE,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-05.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-03,ryw,normal,ONE,ONE,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-03.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-01,ryw,normal,ONE,ONE,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-01.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-05,wfr,normal,ONE,ONE,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-05.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-01,mw,normal,QUORUM,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-01.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-01,wfr,normal,QUORUM,QUORUM,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-01.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-01,mr,normal,QUORUM,QUORUM,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-01.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-02,mr,normal,QUORUM,QUORUM,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-02.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-03,mw,normal,QUORUM,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-03.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-03,wfr,normal,ONE,ONE,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-03.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-02,mr,normal,ONE,ONE,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-02.jsonl
