history,model,scenario,write_cl,read_cl,result,reason,workload_status_counts,raw_path
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-quorum-01,ryw,partition_cross_side,QUORUM,QUORUM,blocked,follow-up read did not succeed,"{""ok"": 1, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-quorum-01.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-quorum-05,wfr,partition_cross_side,QUORUM,QUORUM,blocked,dependent write(b) did not succeed,"{""ok"": 2, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-quorum-05.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-one-05,ryw,partition_cross_side,ONE,ONE,witness,successful write(v1) followed by old/missing value,"{""ok"": 2}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-one-05.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-one-03,ryw,partition_cross_side,ONE,ONE,witness,successful write(v1) followed by old/missing value,"{""ok"": 2}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-one-03.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-one-01,ryw,partition_cross_side,ONE,ONE,witness,successful write(v1) followed by old/missing value,"{""ok"": 2}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-one-01.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-one-05,wfr,partition_cross_side,ONE,ONE,candidate_dependency_witness,verified isolated n3 has dependent b but not predecessor a; A/C evidence and model interpretation require review,"{""ok"": 3}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-one-05.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-quorum-01,mw,partition_cross_side,QUORUM,N/A,blocked,both ordered writes did not succeed,"{""ok"": 1, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-quorum-01.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-quorum-01,wfr,partition_cross_side,QUORUM,QUORUM,blocked,dependent write(b) did not succeed,"{""ok"": 2, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-quorum-01.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-01,mr,partition_cross_side,QUORUM,QUORUM,blocked,second read did not succeed,"{""ok"": 2, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-01.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-02,mr,partition_cross_side,QUORUM,QUORUM,blocked,second read did not succeed,"{""ok"": 2, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-02.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-quorum-03,mw,partition_cross_side,QUORUM,N/A,blocked,both ordered writes did not succeed,"{""ok"": 1, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-quorum-03.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-one-03,wfr,partition_cross_side,ONE,ONE,candidate_dependency_witness,verified isolated n3 has dependent b but not predecessor a; A/C evidence and model interpretation require review,"{""ok"": 3}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-one-03.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-one-02,mr,partition_cross_side,ONE,ONE,witness,same reader observed v1 then an old/missing value,"{""ok"": 3}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-one-02.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-quorum-05,mw,partition_cross_side,QUORUM,N/A,blocked,both ordered writes did not succeed,"{""ok"": 1, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-quorum-05.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-one-01,mw,partition_cross_side,ONE,N/A,candidate_dependency_witness,verified isolated n3 has dependent b but not predecessor a; A/C evidence and model interpretation require review,"{""ok"": 2}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-one-01.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-quorum-03,wfr,partition_cross_side,QUORUM,QUORUM,blocked,dependent write(b) did not succeed,"{""ok"": 2, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-quorum-03.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-quorum-04,ryw,partition_cross_side,QUORUM,QUORUM,blocked,follow-up read did not succeed,"{""ok"": 1, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-quorum-04.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-one-05,mr,partition_cross_side,ONE,ONE,witness,same reader observed v1 then an old/missing value,"{""ok"": 3}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-one-05.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-one-04,wfr,partition_cross_side,ONE,ONE,candidate_dependency_witness,verified isolated n3 has dependent b but not predecessor a; A/C evidence and model interpretation require review,"{""ok"": 3}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-one-04.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-one-04,ryw,partition_cross_side,ONE,ONE,witness,successful write(v1) followed by old/missing value,"{""ok"": 2}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-one-04.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-03,mr,partition_cross_side,QUORUM,QUORUM,blocked,second read did not succeed,"{""ok"": 2, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-03.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-one-01,wfr,partition_cross_side,ONE,ONE,candidate_dependency_witness,verified isolated n3 has dependent b but not predecessor a; A/C evidence and model interpretation require review,"{""ok"": 3}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-wfr-one-01.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-one-04,mw,partition_cross_side,ONE,N/A,candidate_dependency_witness,verified isolated n3 has dependent b but not predecessor a; A/C evidence and model interpretation require review,"{""ok"": 2}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-one-04.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-05,mr,partition_cross_side,QUORUM,QUORUM,blocked,second read did not succeed,"{""ok"": 2, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-05.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-quorum-03,ryw,partition_cross_side,QUORUM,QUORUM,blocked,follow-up read did not succeed,"{""ok"": 1, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-ryw-quorum-03.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-one-04,mr,partition_cross_side,ONE,ONE,witness,same reader observed v1 then an old/missing value,"{""ok"": 3}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-one-04.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-04,mr,partition_cross_side,QUORUM,QUORUM,blocked,second read did not succeed,"{""ok"": 2, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mr-quorum-04.jsonl
20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-quorum-02,mw,partition_cross_side,QUORUM,N/A,blocked,both ordered writes did not succeed,"{""ok"": 1, ""unavailable"": 1}",results/raw/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee/member-b/20260916T113921Z-d6670471-9ddb-4b18-97cc-7054b455edee-mw-quorum-02.jsonl
